
================================================================================
MÉTRICAS DE CENTRALIDADE DA REDE
================================================================================
Vértice    Grau         Intermediação   Proximidade     PageRank    
--------------------------------------------------------------------------------
447        0.6643       0.1016          0.9052          0.0421      
406        0.0249       0.0000          0.0000          0.0173      
277        0.0213       0.0000          0.0000          0.0105      
242        0.0870       0.0109          0.5120          0.0097      
299        0.0142       0.0001          1.0000          0.0091      
264        0.0036       0.0000          0.0000          0.0090      
51         0.0178       0.0000          1.0000          0.0080      
143        0.0142       0.0000          0.6667          0.0078      
134        0.0124       0.0000          0.0000          0.0068      
44         0.0373       0.0111          0.4899          0.0067      
196        0.0124       0.0000          0.0000          0.0066      
122        0.0071       0.0000          0.0000          0.0066      
258        0.0124       0.0000          0.0000          0.0066      
28         0.0124       0.0000          0.0000          0.0066      
521        0.0231       0.0041          0.3324          0.0058      
310        0.0213       0.0046          0.4758          0.0057      
24         0.0107       0.0000          0.0000          0.0055      
233        0.0124       0.0000          0.0000          0.0054      
418        0.0107       0.0000          0.0000          0.0054      
473        0.0107       0.0000          0.0000          0.0053      
452        0.0604       0.0035          0.4919          0.0052      
481        0.0266       0.0046          0.4795          0.0051      
190        0.0089       0.0000          0.0000          0.0051      
42         0.0107       0.0000          0.0000          0.0047      
460        0.0089       0.0000          0.0000          0.0047      
164        0.0107       0.0039          0.4758          0.0045      
101        0.0089       0.0000          0.0000          0.0044      
184        0.0089       0.0000          0.0000          0.0042      
108        0.0071       0.0000          0.0000          0.0040      
149        0.0071       0.0000          1.0000          0.0040      
457        0.0089       0.0000          0.0000          0.0039      
410        0.0089       0.0000          0.0000          0.0038      
546        0.0071       0.0000          0.0000          0.0038      
333        0.0107       0.0000          0.0000          0.0038      
355        0.0480       0.0036          0.4899          0.0037      
91         0.0071       0.0000          0.0000          0.0037      
20         0.0320       0.0061          0.4946          0.0037      
417        0.0071       0.0000          0.0000          0.0036      
166        0.0089       0.0000          0.0000          0.0036      
60         0.0071       0.0000          0.0000          0.0036      
77         0.0071       0.0000          0.0000          0.0036      
106        0.0089       0.0000          0.0000          0.0035      
126        0.0231       0.0032          0.3358          0.0035      
537        0.0053       0.0000          0.0000          0.0033      
269        0.0071       0.0000          0.0000          0.0033      
531        0.0089       0.0000          1.0000          0.0033      
286        0.0053       0.0000          0.0000          0.0032      
372        0.0053       0.0000          0.0000          0.0032      
364        0.0071       0.0000          1.0000          0.0031      
145        0.0053       0.0000          0.0000          0.0031      
290        0.0053       0.0000          0.0000          0.0031      
327        0.0053       0.0000          0.0000          0.0031      
342        0.0053       0.0000          0.0000          0.0031      
462        0.0053       0.0023          0.3294          0.0030      
431        0.0835       0.0073          0.3605          0.0029      
374        0.0089       0.0000          0.0000          0.0029      
432        0.0071       0.0000          0.5000          0.0029      
173        0.0373       0.0020          0.4899          0.0029      
425        0.0071       0.0000          0.0000          0.0029      
502        0.0107       0.0000          0.0000          0.0028      
429        0.0160       0.0014          0.2695          0.0028      
221        0.0071       0.0000          0.0000          0.0027      
368        0.0053       0.0000          0.0000          0.0027      
441        0.0053       0.0000          0.0000          0.0027      
446        0.0071       0.0000          0.0000          0.0026      
316        0.0053       0.0000          0.0000          0.0026      
470        0.0107       0.0000          0.6667          0.0026      
388        0.0089       0.0000          0.0000          0.0026      
58         0.0107       0.0000          0.0000          0.0025      
465        0.0124       0.0000          1.0000          0.0025      
393        0.0036       0.0000          0.0000          0.0025      
95         0.0071       0.0000          1.0000          0.0025      
19         0.0089       0.0013          0.4770          0.0024      
396        0.0053       0.0000          0.0000          0.0024      
161        0.0053       0.0000          0.0000          0.0024      
85         0.0053       0.0000          0.0000          0.0024      
